gene,locus_tag,growth,Cellulose,Colanic acid,PNAG
WT,-,1.9527099327190758,2.1842516809522055,0.47588551273163715,1.928555555555344
wcaJ,b2047,1.9527099327190778,2.184251680952691,0.0,1.9285555555553195
cpsG,b2048,1.9527099327190582,2.1842516809526185,0.0,1.9285555555556722
yahA,b0315,1.9527099327190618,2.1842516809519665,0.4758855127316567,1.9285555555555762
yhjH,b3525,1.952709932719079,2.1842516809517623,0.47588551273161295,1.9285555555553537
gmr,b1285,1.9527099327190673,2.1842516809518644,0.47588551273164176,1.9285555555555476
ydaM,b1341,1.9527099327190711,2.18425168095293,0.4758855127316572,1.9285555555555023
bcsA,b3533,1.9527099327190731,0.0,0.47588551273152824,1.9285555555555016
pgaB,b1023,1.9527099327190718,2.1842516809530688,0.47588551273164575,0.0
