Dataset,Experimental time (h),Raw analysis time (h),Raw frame index,Cell occupancy (%),Cell occupancy SD (%),EPS coverage (%),EPS coverage SD (%),Cells encased by EPS (%),Cells encased SD (%),Mean EPS intensity (a.u.),Mean EPS intensity SD,Integrated EPS intensity,Integrated EPS intensity SD,EPS-positive area (pixels),EPS-positive area SD (pixels),Measurement context
24-80 h,33.54545454545455,7.5,15,7.800054083598337,3.7404720138448213,14.057571026579026,4.127541969567015,16.839217199386038,5.9139726194485975,9280.369715008297,838.114920462198,1484063473.8,629709340.0165066,163253.0,79549.98655248158,3D chamber; 2D image analysis
24-80 h,34.18181818181818,8.0,16,8.191797066108123,3.8155001052304995,14.244156993033537,4.535639274056354,16.53270105241405,5.90604184003281,9229.546757220096,776.9784854962066,1571330791.4,728987203.6045573,173460.0,89737.75842141367,3D chamber; 2D image analysis
24-80 h,34.81818181818182,8.5,17,8.641388476944716,3.9499946540840005,15.141251387226792,5.397081519800903,18.374783325568018,6.33392877233048,9148.644367227218,745.3655778078302,1706828130.6,835299106.5446421,189926.0,101651.38754586678,3D chamber; 2D image analysis
24-80 h,35.45454545454545,9.0,18,9.144389829990216,3.2582503704773225,14.54867204589019,5.56366184284358,18.19431374692969,7.378907023860159,9150.910346861801,654.0111515996336,1777160918.0,911575020.8013322,197648.0,110644.95618192453,3D chamber; 2D image analysis
24-80 h,36.09090909090909,9.5,19,10.22235907687133,4.672653895535374,14.926370177183742,5.9400597499265215,18.039963380072024,6.986860845581239,9050.367186802416,577.1895403170984,1862762140.0,1035534374.442621,208711.0,123319.58843387372,3D chamber; 2D image analysis
24-80 h,36.72727272727273,10.0,20,10.708323140900196,4.274955204770774,15.029166620933609,6.21755154245279,18.85239162141191,6.185784807866206,9024.05419319234,574.0580187690414,1972173186.4,1140371009.7264593,221435.6,134820.32686245794,3D chamber; 2D image analysis
24-80 h,37.36363636363636,10.5,21,11.059020876651173,5.143297539001416,15.366035778631367,6.348179883274287,18.986518582855222,5.227396213859067,9003.445001725795,529.1246696872887,2100556405.4,1251289145.5260909,236406.8,147953.11582457463,3D chamber; 2D image analysis
24-80 h,38.0,11.0,22,12.114563585494128,6.019754568992804,15.569705454608828,6.667570920041176,19.072745095487154,6.3202160433821035,8979.572815103395,461.2848864389762,2217088959.8,1373072165.648721,250104.4,162209.82427183626,3D chamber; 2D image analysis
24-80 h,38.63636363636364,11.5,23,13.361066306873775,5.594201440202291,16.105853518428766,7.1044847600592,20.2247197442804,6.642444938157528,9237.607306823522,968.5108828173439,2531003889.6,1501998994.929592,279463.4,179336.09542643666,3D chamber; 2D image analysis
24-80 h,39.27272727272727,12.0,24,14.80002446183953,6.857347970318517,16.04296076759291,7.245816371971227,20.1462773704236,7.104428828063447,9212.393451989992,791.1132562032137,2640024639.8,1606234757.2415533,291745.4,190853.26362758377,3D chamber; 2D image analysis
24-80 h,39.90909090909091,12.5,25,15.483092664505872,7.8388396469555675,16.47302634096507,6.6400119103883934,19.900904154115796,6.469729129350023,9252.091902210184,670.404193444229,2860225765.4,1758513544.6390202,314756.6,208426.13578148014,3D chamber; 2D image analysis
24-80 h,40.54545454545455,13.0,26,16.923402909430038,6.888748888412005,16.178666692924764,7.450833803957247,20.447827494703223,8.11750248087032,9271.74780110729,669.474573720241,3051692115.2,1974793322.522667,334845.2,230681.27460892874,3D chamber; 2D image analysis
24-80 h,41.18181818181819,13.5,27,18.599789016634052,7.680788010741104,16.5108594424271,8.29807203405005,20.92541860861051,8.646257342549083,9315.768073278798,708.5047824389517,3249980777.4,2235300813.9697633,355128.6,258459.65352313695,3D chamber; 2D image analysis
24-80 h,41.81818181818181,14.0,28,20.751785905393838,9.31193446092656,17.47901791495411,9.553670829642481,21.00282107212338,9.353266575099303,9259.795135575572,683.1590314923532,3558045723.2,2550984492.845858,390601.0,293840.43245356827,3D chamber; 2D image analysis
24-80 h,42.45454545454545,14.5,29,22.334409590569965,10.329264290160278,18.837538947262306,10.153121776332753,22.906374218756824,10.230758623286928,9124.24412458856,573.2028196574382,3941961824.4,2967681470.109887,437627.6,341921.8227947728,3D chamber; 2D image analysis
24-80 h,43.09090909090909,15.0,30,23.876991346624266,9.250829595706298,20.029526329507743,11.478187918512077,23.713632944496002,10.146266142213472,9003.223829024413,507.01495487555354,4382242407.6,3360090249.7391853,491216.8,386649.79900253407,3D chamber; 2D image analysis
24-80 h,43.72727272727273,15.5,31,24.939805719483857,9.298114111588513,21.507145421776805,11.281095987532348,26.22274238853057,11.886783615159327,8949.485613681736,488.195262407398,4906173809.6,3882137395.7583556,550468.6,439916.21017564245,3D chamber; 2D image analysis
24-80 h,44.36363636363636,16.0,32,26.290018040606654,10.407766544779722,23.256970998581437,12.113636508890703,28.470058691500594,12.519991731411041,8881.049744529297,465.3797101023146,5440109344.0,4279684203.242343,611792.4,478811.2037012083,3D chamber; 2D image analysis
24-80 h,45.0,16.5,33,28.03378887139188,11.285995808885282,26.482448463132,13.994702079657232,32.58165299517539,13.508219539865893,8793.52912371192,456.7780094365441,6292869800.6,4892183774.560107,713496.6,547657.4206904349,3D chamber; 2D image analysis
24-80 h,45.63636363636364,17.0,34,29.015898284613506,12.960142422677503,29.1766324757158,14.620975200791293,33.93845397198748,14.515351996606023,8759.718632141065,385.9957747999796,7042157786.8,5538273725.582134,798624.8,616173.3781178801,3D chamber; 2D image analysis
24-80 h,46.27272727272727,17.5,35,31.1352252400318,12.953376447231193,31.214533042239907,14.794024599683434,37.21816363339962,14.113119074739489,8806.313645096563,374.28455654942957,7835311084.0,5910055578.492471,884241.6,653374.8191163323,3D chamber; 2D image analysis
24-80 h,46.90909090909091,18.0,36,33.36246617386253,12.143315651048349,33.474484886953114,16.763543318649383,38.77837701268693,16.047727073962687,8840.980450906218,376.7231287557008,8726025941.2,6796403673.32421,977502.8,737439.916522831,3D chamber; 2D image analysis
24-80 h,47.54545454545455,18.5,37,35.03603821397994,13.236674302946213,36.21895559245596,17.117386966769622,42.48624999742357,16.182306996526943,8852.87283492864,357.4934626433021,9688423276.2,7371946440.997385,1078267.0,779905.5204077606,3D chamber; 2D image analysis
24-80 h,48.18181818181819,19.0,38,34.680997546171724,13.330773339964356,39.4999756793173,18.09313262056362,45.98838126311462,16.769600572069763,8877.318228901997,388.5176557491115,10768007948.4,7942554728.251114,1190893.2,819938.1133711861,3D chamber; 2D image analysis
24-80 h,48.81818181818181,19.5,39,36.5429257506727,13.493648416945078,42.76613632258155,19.33292351302537,48.730885878394126,17.163413961603332,8939.007202806077,410.29903290590573,12022025012.8,8819209500.005487,1316312.2,890389.080545522,3D chamber; 2D image analysis
24-80 h,49.45454545454545,20.0,40,38.250710922211354,12.948114793896787,45.25711292442245,20.047640802508653,50.13659959899161,17.79836742949649,9000.760352112968,461.742324254022,12986040364.8,9364114503.61513,1407942.8,920702.1978572658,3D chamber; 2D image analysis
24-80 h,50.09090909090909,20.5,41,40.54778276357632,13.224293414018065,47.44249792653709,19.7733994250344,52.5426052053871,17.527169926221305,9042.516259963928,543.8902613979641,14032106064.0,9904896559.647203,1508236.4,943134.417262619,3D chamber; 2D image analysis
24-80 h,50.72727272727273,21.0,42,41.49904254831213,13.994941016248314,49.2929605093463,19.85311534546011,54.46375410285115,17.51907241764648,9089.304889130983,614.8362928833167,14881325290.6,10463047462.793467,1586164.8,969928.2701139296,3D chamber; 2D image analysis
24-80 h,51.36363636363636,21.5,43,42.415071550880626,14.287455983681363,50.53976027471724,20.667633101488818,56.05919637112477,18.46401168123476,9153.78441107204,699.2982077323395,15704968228.6,11238894538.498207,1654908.2,1010083.2968471957,3D chamber; 2D image analysis
24-80 h,52.0,22.0,44,44.61159185420744,15.441878899265769,51.628246938759865,20.4055135743497,58.02346110803519,17.444061227302456,9228.150427564386,754.2208899327416,16393772697.6,11572478464.169996,1710814.6,1014104.2666374596,3D chamber; 2D image analysis
24-80 h,52.63636363636364,22.5,45,45.94650597021771,14.901342999847737,53.329051178467935,20.327429500212194,58.724630300884584,18.14485894644954,9272.882546522284,839.9296863477414,17111334525.0,12046682744.464664,1771539.2,1023358.5440759265,3D chamber; 2D image analysis
24-80 h,53.27272727272727,23.0,46,47.18509203767123,14.562501406386206,54.86572251990573,20.520246233265485,60.0827402575007,17.970538715634742,9339.810598304766,954.9114775287694,18036942362.4,12655925194.094696,1846629.2,1034433.3675808704,3D chamber; 2D image analysis
24-80 h,53.90909090909091,23.5,47,49.10515055497798,14.621382279650913,56.79057504583036,20.286718437389588,61.76544905271207,18.256386291153113,9405.955859729624,1063.6977002789665,18979246042.8,13232175759.372683,1923579.6,1042523.1877449057,3D chamber; 2D image analysis
24-80 h,54.54545454545455,24.0,48,50.9765768331091,13.814881055578839,60.187597717651975,19.651021753126113,64.54556486928186,18.41426470579041,9423.190071623381,1146.4212254162208,20394682978.0,13358506505.826649,2067721.8,1027734.4394403157,3D chamber; 2D image analysis
24-80 h,55.18181818181819,24.5,49,51.74201741377201,16.032297241902434,62.609754652091716,19.22752905140954,66.3008625667001,17.357870512359728,9498.859864165588,1259.8376247049764,21435707907.2,13928981331.279436,2151692.8,1033765.9531004588,3D chamber; 2D image analysis
24-80 h,55.81818181818181,25.0,50,53.672605988564094,15.042800621483753,64.23439196959339,19.36953140705388,68.21755830433385,17.790675488899637,9569.660345082004,1354.5422985580142,22488085944.8,14485130738.42412,2237801.0,1044301.4632109351,3D chamber; 2D image analysis
24-80 h,56.45454545454545,25.5,51,55.004873257093934,14.860727288045666,66.80893184247954,18.642778166799292,70.38574500304397,16.902061928441515,9658.48839502643,1471.41629528333,23835075708.8,14877250524.759176,2348850.8,1029093.8503910613,3D chamber; 2D image analysis
24-80 h,57.09090909090909,26.0,52,55.82163592374021,16.3027251532366,68.9838599956338,18.802686787486664,73.13498860007601,17.041987874241197,9786.730795876581,1642.267375587757,25197131390.6,15633811310.762407,2445761.2,1033421.7173142337,3D chamber; 2D image analysis
24-80 h,57.72727272727273,26.5,53,56.07518862371575,16.030056891669282,71.9625451880333,17.942232140139023,75.43894516398004,16.46424774695129,9911.585074112587,1808.0325049136736,26668547067.0,16212097574.565693,2554444.6,1024510.3567769825,3D chamber; 2D image analysis
24-80 h,58.36363636363637,27.0,54,56.89465547027886,14.693349629766978,74.72910197753367,17.416274142973897,77.26480983714896,16.46465225111346,10018.448902146909,1963.4111645546413,28258240685.8,16793864180.81126,2677939.6,1022044.9543773992,3D chamber; 2D image analysis
24-80 h,59.0,27.5,55,57.619681460983365,15.095361148367298,78.04380149160792,15.991208810214166,78.88046358283572,15.845132935504601,10166.597056467595,2118.614435408377,30077850166.6,17108150880.20132,2813726.4,981806.7425926041,3D chamber; 2D image analysis
